prediccion,min_confianza,max_confianza
78585.28394405892,76207.90899792933,80954.87056858272
79821.95661020781,77395.62971366706,82482.03947138057
79067.54920535022,76655.09077868723,81481.97471208517
80839.67226951577,78355.32614468303,83324.21320685376
79643.67853232226,77167.59475414443,81997.20130729907
79598.01767307968,77165.17872016625,82068.5466104622
79380.33403508738,76997.03646039893,81792.28074511889
