Fecha,Predicción,Cambio_7d,Cambio_1d
2025-04-06,83955.67,1.9689777383974372,0.5399390416755523
2025-04-07,85497.27,3.5716513154464113,1.836208951785001
2025-04-08,84268.82,-1.0571331652976745,-1.4368331007631685
2025-04-09,84663.805,2.6405709852587167,0.46871947837319183
2025-04-10,84550.58,1.7421188095095186,-0.1337366811211993
2025-04-11,84940.68,1.3082361947769794,0.4613824898077823
2025-04-12,84860.08,1.6229980800129828,-0.09489159116283785
2025-04-13,84153.63,0.2357959747314453,-0.8324825148751325
2025-04-14,85112.99,-0.4494667053222656,1.1400094600045652
2025-04-15,83721.77,-0.6491661071777344,-1.6345550946384457
2025-04-16,84784.88,0.14301538467407227,1.2698122977454984
2025-04-17,85342.664,0.9368181228637695,0.6578781871215522
2025-04-18,85117.914,0.20865201950073242,-0.26335011036848766
2025-04-19,85080.875,0.26018619537353516,-0.04351500257959717
2025-04-20,84051.88,-0.12090802192687988,-1.209428308653382
2025-04-21,84888.086,-0.26424527168273926,0.9948654295649506
2025-04-22,84001.64,0.3342866897583008,-1.0442517376969218
2025-04-23,84784.88,0.0,0.9324129644045165
2025-04-24,85050.766,-0.342029333114624,0.3135969570047026
2025-04-25,85376.695,0.3040313720703125,0.3832178171529588
2025-04-26,85327.51,0.28988122940063477,-0.05761232596314114
2025-04-27,84382.39,0.39322376251220703,-1.1076348199185793
2025-04-28,85197.195,0.3641366958618164,0.9656098641730004
2025-04-29,83947.0,-0.06504654884338379,-1.4674136958550466
2025-04-30,84650.86,-0.15807747840881348,0.8384568537291415
2025-05-01,84770.55,-0.3294706344604492,0.14138958645391053
2025-05-02,84911.28,-0.5451321601867676,0.16601801001416838
2025-05-03,85057.48,-0.316464900970459,0.17217419210713292
2025-05-04,85242.67,1.0195016860961914,0.21772961059327578
2025-05-05,85197.195,0.0,-0.05334952729624254
