prediccion,min_confianza,max_confianza
81154.6217568399,78348.55064320803,83900.23301716936
80567.33897029198,77755.65104733792,83173.41102170773
82409.39268434832,79478.34580593935,85092.03761701268
81282.67453594928,78507.51624483951,84057.18402489675
81515.88598403777,78622.67181150697,84272.10523261275
80979.86455200662,77970.65480589663,83822.03395416819
79765.95756435754,77016.12181715385,82423.55550242781
