prediccion,min_confianza,max_confianza
78420.45289434186,76208.28742517352,80824.89037493325
79649.08107464996,77461.10448955232,82099.4926098282
78880.09543547241,76512.99175848567,81314.95202432618
80648.33704650169,78266.03976044497,83049.72685036378
79446.49205976292,77159.1701545091,81690.52870574732
79395.80902751813,77126.4480999213,81842.03825252787
79026.06062767097,76676.36658559521,81479.47741175999
