publishedAt,title,description,url
2025-04-10T19:45:00Z,Cambio de sentimiento de traders de Bitcoin apunta al siguiente paso en el actual ciclo del halving,"El movimiento dentro de las cohortes de titulares de Bitcoin a largo y corto plazo sugiere que el mercado está entrando en una nueva fase de este ciclo del halving.
 El ciclo de cuatro años de Bitcoin (BTC), anclado en sus eventos de halving, es ampliamente r…",https://es.cointelegraph.com/news/bitcoin-traders-sentiment-shift-points-to-next-step-in-btc-halving-cycle
2025-04-10T18:57:00Z,Los ETF spot de Bitcoin registran salidas por 772 millones de dólares mientras inversores se preparan por inflación impulsada por aranceles,"Las crecientes salidas de los ETF spot de Bitcoin reflejan la preocupación de los inversores por una posible inflación tras los nuevos aranceles de EE.UU. a varios países.
 Los fondos cotizados (ETFs) de Bitcoin (BTC) al contado enfrentaron una presión signif…",https://es.cointelegraph.com/news/spot-bitcoin-etfs-see-772-m-outflow-as-investors-prepare-for-tariff-driven-inflation
